"Ubicazione","Quartiere","Zona","Sottoarea","lat","lon","AttivitÃ_prevalente","Row_Number"
"VIA LEONETTO CIPRIANI, 12/C","Porto - Saragozza","Saffi","Esercizi di vicinato",44.50477445,11.33293676,"apparecchi radio televisioni giradischi registratori dischi nastri audio video",103
"VIA FRANCESCO ZANARDI, 85/D","Navile","Lame","Esercizi di vicinato",44.51677128,11.3250166,"Settore non alimentare",104
"VIA BRENTA, 1 /B","Savena","Mazzini","Esercizi di vicinato",44.4759323,11.38618116,"Prodotti ortofrutticoli",105
"VIA VAL D'APOSA, 4/A","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49210695,11.34027658,"Quadri e cornici",106
"PIAZZA DELL'UNITA', 11/D","Navile","Bolognina","Esercizi di vicinato",44.51162154,11.3475591,"Abbigliamento",107
"VIA ANDREA COSTA, 33/A","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.49499753,11.32670836,"Abbigliamento",108
"VIA CASTIGLIONE, 59/C","Santo Stefano","Galvani","Esercizi di vicinato",44.48686037,11.34813936,"Abbigliamento",109
"VIA ANDREA COSTA, 45/A","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.49519332,11.32491617,"Ferramenta",110
"VIA MARCO POLO, 3","Navile","Lame","Esercizi di vicinato",44.51379418,11.32886209,"Ottica",111
"VIA DEL PRATELLO, 4/A","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49559959,11.33621459,"Gastronomia Salumeria",112
"VIA S.FELICE, 116/C","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49857507,11.32882164,"Abbigliamento",113
"VIALE ZAGABRIA, 14/C","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50725826,11.37890368,"Abbigliamento e accessori",114
"VIA FRANCESCO ZANARDI, 328/A","Navile","Lame","Edicole",44.52959457,11.31405942,"",115
"VIA PAOLO CANALI, 18/A","San Donato - San Vitale","San Donato","Ingrosso",44.51981156,11.41153147,"Prodotti ortofrutticoli",116
"VIA EMILIA LEVANTE, 35/A","Savena","Mazzini","Esercizi di vicinato",44.48215791,11.37781704,"Carta e cancelleria",117
"VIA SARAGOZZA, 183/B","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.48896969,11.31796711,"Articoli da regalo",118
"VIA AUGUSTO MURRI, 66/C","Santo Stefano","Murri","Esercizi di vicinato",44.4811958,11.36201024,"Materiale hardware e software",119
"VIA DEL TRIUMVIRATO, 84","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.52955642,11.29466912,"Alimentari confezionati",120
"VIA ISABELLA ANDREINI, 32/A","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50103493,11.37369608,"Oggettistica",121
"VIA ENRICO MATTEI, 9","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49383346,11.39510269,"Articoli complementari per distributori carburante",122
"PIAZZA BELLUNO, 4/M","Savena","Mazzini","Esercizi di vicinato",44.47691656,11.38249738,"Carne e prodotti a base di carne",123
"VIA GIUSEPPE DAGNINI, 25/N","Santo Stefano","Murri","Esercizi di vicinato",44.4795585,11.36991627,"Ottica",124
"VIA FARINI, 23","Santo Stefano","Galvani","Esercizi di vicinato",44.49141626,11.34720005,"Sigaretta elettronica",125
"VIA DELL'INDIPENDENZA, 41","Santo Stefano","Irnerio","Esercizi di vicinato",44.49891592,11.34390116,"Ottica",126
"VIA DI CORTICELLA, 22/C","Navile","Bolognina","Esercizi di vicinato",44.51317484,11.34701497,"Pane - pasticceria - dolciumi",127
"VIA S.STEFANO, 154","Santo Stefano","Galvani","Esercizi di vicinato",44.48573115,11.35491654,"Abbigliamento",128
"VIA FILIPPO SCHIASSI, 58/C","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.4875282,11.37286205,"Alimentari confezionati",129
"VIA D'AZEGLIO, 5/A","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49330117,11.34214655,"Abbigliamento",130
"VIA S.FELICE, 133/2C","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49865356,11.32966399,"Abbigliamento",131
"VIA ALTABELLA, 10/A","Santo Stefano","Irnerio","Phone center/Internet point",44.49527901,11.34480117,"",132
"STRADA MAGGIORE, 25","Santo Stefano","Galvani","Esercizi di vicinato",44.49280384,11.34974353,"Abbigliamento e accessori",133
"VIA LAURA BASSI VERATTI, 2/C","Santo Stefano","Murri","Esercizi di vicinato",44.48535917,11.369098,"Prodotti ortofrutticoli",134
"VIA ALESSANDRO STOPPATO, 20/A","Navile","Corticella","Esercizi di vicinato",44.54305851,11.3573061,"",135
"VIA DELL'INDIPENDENZA, 70","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50262215,11.34464817,"Abbigliamento e accessori",136
"VIA DELLA SALITA, 1/A","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49374993,11.38029865,"Alimentari confezionati",137
"VIA GIUSEPPE MASSARENTI, 202/l","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49313823,11.37081351,"Schede telefoniche telefoni cellulari",138
"VIA ALTABELLA, 19","Santo Stefano","Irnerio","Esercizi di vicinato",44.49515934,11.34504791,"Abbigliamento e accessori",139
"VIA UGO BASSI, 23","Porto - Saragozza","Marconi","Esercizi di vicinato",44.4958048,11.33815433,"Latte e latticini",140
"VIA S.VITALE, 3/B","Santo Stefano","Irnerio","Esercizi di vicinato",44.49445213,11.34761199,"Abbigliamento",141
"VIA DONATO CRETI, 55/A","Navile","Bolognina","Esercizi di vicinato",44.51006521,11.35305586,"Accessori moto e modellismo",142
"VIA CARLO SIGONIO, 13/D","Santo Stefano","Murri","Esercizi di vicinato",44.48179233,11.37097038,"Alimentari confezionati",143
"VIA BARBERIA, 1/B","Porto - Saragozza","Malpighi","Punti di vendita non esclusivi di quotidiani e/o periodici",44.49146032,11.33984975,"",144
"VIA S.VITALE, 79/a","Santo Stefano","Irnerio","Esercizi di vicinato",44.4940157,11.35591724,"Cartoleria",145
"VIA DON LUIGI STURZO, 52/A","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.48773159,11.29565536,"Video DVD",146
"VIA DELLE LAME, 37/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49797623,11.33620478,"Articoli per arredamento e ornamento della casa",147
"VIA DE' GOMBRUTI, 20","Porto - Saragozza","Malpighi","Ingrosso",44.49296175,11.33705661,"Oggetti preziosi",148
"VIA S.MAMOLO, 1/A","Santo Stefano","Colli","Esercizi di vicinato",44.48623543,11.33943759,"Articoli da regalo",149
"VIA LARGA, 47","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.50634793,11.39736535,"Autoveicoli e moto di grossa cilindrata",150
"VIA GIUSEPPE MASSARENTI, 217","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49299066,11.38668455,"",151
"VIA PIER DE' CRESCENZI, 2","Porto - Saragozza","Saffi","Esercizi di vicinato",44.50229238,11.33211967,"Abiti da sposa",152
"VIA GIUSEPPE MEZZOFANTI, 83/B","Santo Stefano","Murri","Esercizi di vicinato",44.4817534,11.36950226,"Materiale hardware e software",153
"VIA LIONELLO SPADA, 63/c","Navile","Bolognina","Esercizi di vicinato",44.51534879,11.34310996,"Prodotti ortofrutticoli",154
"VIA CESARE PAVESE, 47","Savena","S. Ruffillo","Esercizi di vicinato",44.44834137,11.35918909,"Mobili",155
"VIA GUGLIELMO MARCONI, 41","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49844095,11.33843637,"Profumeria",156
"VIA CADUTI DI CASTELDEBOLE, 15/A","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.5014874,11.27797077,"Latte e latticini",157
"VIA FERRARESE, 48","Navile","Bolognina","Esercizi di vicinato",44.51522309,11.35307879,"",158
"VIA DEL BORGO DI S.PIETRO, 69","Santo Stefano","Irnerio","Esercizi di vicinato",44.50066161,11.34955321,"Alimentari confezionati",159
"VIA AURELIO SAFFI, 26/A","Porto - Saragozza","Saffi","Phone center/Internet point",44.50085857,11.32219958,"",160
"VIA S.FELICE, 105","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49823575,11.33032252,"Gastronomia Salumeria",161
"VIA EMILIA LEVANTE, 6","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.48424693,11.37347878,"Gadgets",162
"GALLERIA CAVOUR, 3/D","Santo Stefano","Galvani","Esercizi di vicinato",44.49241209,11.34395685,"Prodotti per la cosmetica",163
"VIA DEL LAVORO, 46/C","San Donato - San Vitale","San Donato","Edicole",44.50723245,11.35720595,"",164
"VIA EMILIA LEVANTE, 63/A","Savena","Mazzini","Esercizi di vicinato",44.48136529,11.38015902,"Cartucce stampanti",165
"CORTE ISOLANI, 5/A","Santo Stefano","Galvani","Esercizi di vicinato",44.49265351,11.34825705,"Pasta fresca e prodotti da forno",166
"VIA FERRARESE, 160/2A","Navile","Corticella","Esercizi di vicinato",44.52884554,11.36634248,"Pane - pasticceria - dolciumi",167
"PIAZZA GALILEO, 5/B","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49298202,11.34047141,"Prodotti ortofrutticoli",168
"VIA EMILIA PONENTE, 182/C","Borgo Panigale - Reno","S. Viola","Esercizi di vicinato",44.50890504,11.29577214,"Prodotti per la cosmetica",169
"VIA GIACOMO MATTEOTTI, 32/E","Navile","Bolognina","Phone center/Internet point",44.51015875,11.34682839,"",170
"VIA DELL'INDIPENDENZA, 31/A","Santo Stefano","Irnerio","Esercizi di vicinato",44.49801933,11.34363591,"Pane - pasticceria - dolciumi",171
"VIA GIUSEPPE DI VITTORIO, 4","Borgo Panigale - Reno","Barca","Medie strutture di vendita",44.49385568,11.28871174,"Alimentari confezionati",172
"VIA MAZZINI, 13/C","Santo Stefano","Murri","Esercizi di vicinato",44.48920821,11.35932109,"Vino sfuso e in bottiglia",173
"VIA DELL'ARCOVEGGIO, 49/5","Navile","Corticella","Ingrosso",44.53054307,11.34743598,"Bevande vini - olii - birra ed altre",174
"VIA D'AZEGLIO, 3/B","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.4933143,11.34214745,"Elettronica",175
"VIA DELL'INDIPENDENZA, 23/C","Santo Stefano","Irnerio","Esercizi di vicinato",44.49734061,11.34341399,"Telefoni cellulari ed accessori",176
"VIA GIUSEPPE MASSARENTI, 27/C","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49249344,11.36642607,"Pane - pasticceria - dolciumi",177
"VIA ANDREA COSTA, 76/C","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.49530702,11.32053465,"Abbigliamento e accessori",178
"VIA FRANCESCO CAVAZZONI, 2/C","Savena","S. Ruffillo","Esercizi di vicinato",44.47010452,11.38180399,"Pane - pasticceria - dolciumi",179
"GALLERIA CAVOUR, 1/E","Santo Stefano","Galvani","Esercizi di vicinato",44.49174023,11.34396291,"Abbigliamento e accessori",180
"VIA SAN ROCCO, 5/D","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49664757,11.33024539,"Alimentari confezionati",181
"STRADA MAGGIORE, 31","Santo Stefano","Galvani","Esercizi di vicinato",44.49260377,11.35037257,"Alimentari confezionati",182
"VIA S.VITALE, 36/A","Santo Stefano","Irnerio","Esercizi di vicinato",44.49449188,11.34966912,"Parafarmacia",183
"VIA SEBASTIANO SERLIO, 32/A","Navile","Bolognina","Esercizi di vicinato",44.50789854,11.35472595,"Pane - pasticceria - dolciumi",184
"VIA NOSADELLA, 3/A","Porto - Saragozza","Malpighi","Ingrosso",44.49305474,11.33552693,"Alimentari confezionati",185
"VIALE DELLA REPUBBLICA, 6/A","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50374671,11.36345529,"Prodotti ortofrutticoli",186
"VIA FIRENZE, 6/B","Savena","Mazzini","Esercizi di vicinato",44.47118505,11.38657368,"Pane - pasticceria - dolciumi",187
"VIA GUERRAZZI, 19/B","Santo Stefano","Galvani","Esercizi di vicinato",44.49071881,11.3508135,"Abbigliamento",188
"VIA DEL TRAGHETTO, 5/3","Navile","Lame","Esercizi di vicinato",44.52925121,11.31068262,"Alimentari confezionati",189
"VIALE GIOVANNI VICINI, 1","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49492396,11.32848702,"Settore non alimentare",190
"VIA HONORE' DE BALZAC, 6","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.51042556,11.28448086,"Casalinghi",191
"VIA ARNO, 30","Savena","Mazzini","Esercizi di vicinato",44.47340539,11.38800263,"Cartoleria",192
"VIA ALTABELLA, 21/A","Santo Stefano","Irnerio","Esercizi di vicinato",44.4951564,11.345182,"Alimentari confezionati",193
"VIA UGO LA MALFA, 18","Borgo Panigale - Reno","Borgo Panigale","Ingrosso",44.50540951,11.2790688,"Porte finestre",194
"VIA RIVA DI RENO, 58","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49857412,11.33434722,"Prodotti per la cosmetica",195
"PIAZZA DELLE MEDAGLIE D'ORO, 1","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50562798,11.34260468,"Alimentari confezionati",196
"VIA FRANCESCO ZANARDI, 189/D","Navile","Lame","Esercizi di vicinato",44.52278915,11.31996355,"Alimentari confezionati",197
"VIA FRANCESCO ZANARDI, 29","Porto - Saragozza","Saffi","Ingrosso",44.50544872,11.33165178,"",198
"VIA S.VITALE, 36","Santo Stefano","Irnerio","Esercizi di vicinato",44.49447658,11.34981847,"Cartoleria",199
"VIA VITTORIO VENETO, 9/B","Porto - Saragozza","Saffi","Esercizi di vicinato",44.50006826,11.32076114,"Articoli medicali e ortopedici",200
